title,tema,dificuldade,definicao,fisiopatologia,sinais_sintomas,diagnostico,conduta,tratamento,pegadinhas,resumo,fluxograma,algoritmo,score_clinico,sinais_gravidade,criterios_internacao,erros_comuns,dica_tep,checklist,flashcards,mini_aula,simulado
Bronquiolite viral,Pneumologia,4,"Infecção viral aguda de vias aéreas inferiores em lactentes, geralmente pelo VSR.","Inflamação, edema bronquiolar e acúmulo de secreções causam obstrução de pequenas vias aéreas.","Coriza inicial; tosse; sibilância; taquipneia; tiragem; dificuldade alimentar; hipoxemia.","Clínico; exames apenas se dúvida, gravidade ou complicações.","Avaliar gravidade, hidratação, oxigenação e capacidade alimentar.","Suporte: lavagem nasal, hidratação, oxigênio se hipoxemia; CNAF se moderada/grave refratária.","Broncodilatador, corticoide, adrenalina inalatória e antibiótico não são rotina.","Bronquiolite = suporte. VSR é o agente clássico.","Lactente chiando → avaliar SatO2/esforço/alimentação → suporte → internar se grave.","Sat baixa ou esforço importante → O2/CNAF; apneia/exaustão → UTI.","Wood-Downes/avaliação clínica.","Apneia; Sat <90-92%; exaustão; cianose; recusa alimentar.","Hipoxemia; apneia; prematuro; cardiopata; má alimentação; esforço moderado/grave.","Tratar como asma; usar antibiótico sem infecção bacteriana.","TEP tenta induzir salbutamol/corticoide; resposta correta costuma ser suporte.","☑ Lactente ☑ VSR ☑ SatO2 ☑ Tiragem ☑ Alimentação ☑ Suporte","Agente mais comum?::VSR | Tratamento de rotina?::Suporte","Bronquiolite começa como resfriado e piora no 3º-5º dia. A chave é avaliar gravidade, oxigenação e hidratação, evitando medicações sem benefício rotineiro.","Lactente 4 meses, coriza, sibilância, Sat 91% e tiragem. Conduta? A) Corticoide B) Salbutamol rotina C) Oxigênio/suporte D) Antibiótico. Resposta: C."
Pneumonia adquirida na comunidade,Pneumologia,4,"Infecção do parênquima pulmonar adquirida fora do hospital.","Inflamação alveolar por vírus ou bactérias; etiologia varia com idade.","Febre; tosse; taquipneia; tiragem; dor torácica; queda do estado geral.","Clínico; RX se dúvida, complicação, gravidade ou falha terapêutica.","Classificar gravidade, idade e provável etiologia; decidir ambulatório vs internação.","Amoxicilina em muitos casos bacterianos ambulatoriais; suporte; oxigênio se hipoxemia.","Taquipneia é sinal importante; nem toda pneumonia precisa RX.","Critérios de gravidade determinam internação.","Tosse/febre → contar FR → avaliar esforço/Sat → antibiótico se bacteriana → internar se grave.","Faixa etária + gravidade → escolha terapêutica.","FR por idade.","Sat baixa; tiragem; gemência; incapacidade alimentar; toxemia.","Hipoxemia; desidratação; complicação; lactente pequeno; falha ambulatorial.","Pedir RX para todos; esquecer FR; usar antibiótico inadequado.","TEP cobra taquipneia por idade e critérios de internação.","☑ FR por idade ☑ SatO2 ☑ Tiragem ☑ Estado geral ☑ Hidratação ☑ Antibiótico se indicado","Principal sinal clínico?::Taquipneia | RX é sempre necessário?::Não","Pneumonia pediátrica é decisão clínica: reconhecer gravidade, idade e necessidade de antibiótico ou internação é mais importante que pedir exames indiscriminadamente.","Criança com febre, tosse, taquipneia e Sat 89%. Conduta? A) Alta B) Internar/oxigênio C) Antitérmico apenas D) Sem antibiótico nunca. Resposta: B."
Asma infantil,Pneumologia,4,"Doença inflamatória crônica das vias aéreas com hiperresponsividade brônquica.","Inflamação e broncoconstrição reversível desencadeadas por vírus, alérgenos ou exercício.","Sibilância recorrente; tosse noturna; dispneia; aperto torácico; melhora com broncodilatador.","Clínico; espirometria em crianças maiores quando possível.","Classificar controle e gravidade; orientar plano de ação.","Crise: SABA e corticoide se indicado; manutenção: corticoide inalatório conforme controle.","Bronquiolite do lactente não deve ser automaticamente tratada como asma.","Controle ruim exige revisar técnica inalatória e adesão.","Sintomas recorrentes → diagnóstico provável → classificar controle → tratar e revisar técnica.","Crise aguda → Sat/esforço → SABA → corticoide → reavaliar.","PRAM na crise.","Fala entrecortada; exaustão; Sat baixa; silêncio torácico.","Crise grave; hipoxemia; falha à terapia inicial.","Não usar espaçador; só tratar crise e não manutenção.","TEP cobra técnica inalatória, controle e diferença com bronquiolite.","☑ Frequência sintomas ☑ Despertares ☑ Técnica ☑ SABA ☑ Corticoide inalatório","Tratamento controlador principal?::Corticoide inalatório | Sinal de gravidade?::Silêncio torácico","Asma exige plano longitudinal: controlar sintomas, prevenir crises, revisar adesão e técnica, além de tratar exacerbações rapidamente.","Escolar com tosse noturna frequente e sibilância recorrente. Conduta de manutenção provável? A) Antibiótico B) Corticoide inalatório C) Antitérmico D) Nenhum. Resposta: B."
Laringite viral,Pneumologia,3,"Inflamação viral de laringe/subglote, comum em crianças pequenas.","Edema subglótico causa estridor e tosse ladrante.","Tosse ladrante; rouquidão; estridor inspiratório; piora noturna.","Clínico.","Avaliar gravidade do estridor e esforço respiratório.","Corticoide; adrenalina nebulizada se moderada/grave; observação após adrenalina.","Estridor em repouso indica maior gravidade.","Laringite é diagnóstico clínico e tratamento é guiado por gravidade.","Tosse ladrante → estridor? → corticoide → adrenalina se estridor repouso.","Estridor repouso/esforço → tratar e observar.","Westley croup score.","Estridor em repouso; retrações; cianose; exaustão.","Moderada/grave; necessidade de adrenalina; hipoxemia.","Dar antibiótico de rotina; não observar após adrenalina.","TEP cobra corticoide para todos e adrenalina nos graves.","☑ Tosse ladrante ☑ Estridor ☑ Corticoide ☑ Adrenalina se grave","Tratamento universal?::Corticoide | Estridor em repouso indica?::Gravidade","Laringite viral é uma causa clássica de estridor. O tratamento depende da gravidade, mas corticoide é base terapêutica.","Criança 2 anos com tosse ladrante e estridor em repouso. Conduta? A) Antibiótico B) Corticoide + adrenalina nebulizada C) Alta sem observar D) Salbutamol. Resposta: B."
Influenza pediátrica,Infectologia,4,"Infecção viral aguda respiratória por vírus influenza.","Replicação viral respiratória com risco de complicações em grupos vulneráveis.","Febre alta súbita; tosse; mialgia; prostração; coriza; em crianças pode haver vômitos/diarreia.","Clínico-epidemiológico; RT-PCR/testes conforme vigilância e gravidade.","Identificar SG, SRAG e fatores de risco; iniciar antiviral quando indicado.","Oseltamivir preferencialmente até 48h; em graves/hospitalizados mesmo após 48h.","Oseltamivir não é para COVID; é para influenza.","Criança <5 anos, especialmente <2 anos, é grupo de risco.","SG + risco ou SRAG → oseltamivir → suporte → notificar se SRAG.","Gravidade/fator de risco define tratamento imediato.","—","Dispneia; Sat baixa; retorno da febre; alteração sensório; hipotensão.","SRAG; grupo de risco; hipoxemia; complicações.","Esperar PCR em SRAG; esquecer oseltamivir em <2 anos.","TEP cobra janela de 48h, mas grave trata mesmo depois.","☑ SG ☑ Idade <5/<2 ☑ SRAG ☑ Oseltamivir ☑ Não esperar exame se grave","Quando usar oseltamivir?::SRAG ou SG com risco | Em grave após 48h?::Sim","Influenza tem antiviral específico. O erro clássico é esperar exame em paciente grave ou esquecer grupos de risco pediátricos.","Criança 1 ano com febre alta e tosse há 24h. Conduta? A) Sintomático apenas sempre B) Oseltamivir C) Amoxicilina obrigatória D) Corticoide. Resposta: B."
SRAG pediátrica,Infectologia,5,"Síndrome respiratória aguda grave: SG associada a sinais de insuficiência respiratória ou hipoxemia.","Pode ser causada por influenza, SARS-CoV-2, VSR e outros vírus, ou pneumonia bacteriana.","Dispneia; desconforto respiratório; tiragem; cianose; Sat baixa; taquipneia.","Clínico + oximetria; investigação laboratorial conforme vigilância.","Oxigênio, suporte ventilatório se necessário, coleta de amostras e notificação.","Suporte respiratório; tratar agente provável quando indicado; oseltamivir se influenza suspeita em contexto adequado.","SRAG é definição de gravidade, não de agente etiológico.","Todo SRAG hospitalizado deve ser notificado.","SG + Sat baixa/desconforto → SRAG → oxigênio → investigação/notificação.","Avaliar ABC → oxigênio → coletar painel → tratar conforme suspeita.","FR por idade; oximetria.","Sat <95%; tiragem; gemência; letargia; cianose.","Hospitalização; hipoxemia; necessidade de suporte.","Confundir SRAG com diagnóstico etiológico; não notificar.","TEP cobra cortes de FR e SpO2.","☑ SG ☑ FR por idade ☑ SatO2 ☑ Tiragem ☑ Notificação ☑ Amostra","SRAG é agente ou gravidade?::Gravidade | Sistema de SRAG?::Sivep-Gripe","SRAG é uma porta de entrada operacional: estabilizar, oxigenar, investigar e notificar. O agente etiológico vem depois.","Criança com SG, tiragem e Sat 93%. Classificação? A) Resfriado B) SRAG C) Asma leve D) Alta. Resposta: B."
Meningite bacteriana,Infectologia,5,"Infecção bacteriana das meninges, potencialmente fatal.","Invasão bacteriana do SNC gera inflamação meníngea, edema e risco de sepse.","Febre; cefaleia; vômitos; rigidez nucal; irritabilidade; petéquias; rebaixamento.","Punção lombar quando segura; hemocultura; avaliação clínica de gravidade.","Antibiótico imediato se suspeita forte, sem atraso por exames quando instável.","Ceftriaxona/cefotaxima conforme idade e protocolo; vancomicina em contextos selecionados; suporte.","Petéquias e toxemia sugerem meningococcemia.","Não atrasar antibiótico por imagem quando instável.","Suspeita → estabilizar → culturas/PL se possível → antibiótico imediato.","Instável ou sinais de hipertensão intracraniana → ATB antes/sem PL imediata.","Glasgow pediátrico.","Petéquias; choque; rebaixamento; convulsão; fontanela abaulada.","Instabilidade; suspeita bacteriana; necessidade de ATB EV.","Aguardar PL em paciente instável; não reconhecer meningococcemia.","TEP cobra antibiótico precoce e sinais de alarme.","☑ Febre ☑ Rigidez/petéquias ☑ Hemocultura ☑ PL se seguro ☑ ATB precoce","Não atrasar o quê?::Antibiótico | Petéquias sugerem?::Meningococcemia","Meningite bacteriana é tempo-dependente. A prioridade é reconhecer gravidade e iniciar antibiótico rapidamente.","Escolar febril com petéquias e sonolência. Conduta? A) Alta B) Antibiótico imediato C) Esperar cultura 48h D) Antitérmico. Resposta: B."
Tuberculose pediátrica,Infectologia,5,"Doença por Mycobacterium tuberculosis; em crianças frequentemente paucibacilar e ligada a contato adulto.","Infecção respiratória pode evoluir para doença pulmonar ou formas extrapulmonares, especialmente em pequenos/imunossuprimidos.","Tosse persistente; febre vespertina; perda ponderal; sudorese; contato com adulto bacilífero.","Clínica, RX, história de contato, PT/IGRA; sistema de pontuação no Brasil.","Investigar contato, excluir doença ativa e tratar doença ou ILTB conforme avaliação.","Esquema RHZ; etambutol geralmente evitado em menores de 10 anos salvo resistência; ILTB com isoniazida/rifampicina conforme protocolo.","BCG protege formas graves, não impede infecção pulmonar.","Contato é pilar: criança geralmente é sentinela de adulto bacilífero.","Contato → excluir doença ativa → RX/PT → tratar doença ou ILTB.","PT ≥5mm em contato assintomático/RX normal → tratar ILTB.","Sistema de pontuação para TB infantil.","Meningite TB; miliar; desnutrição; HIV; lactente pequeno.","Suspeita de doença ativa; forma grave; vulnerabilidade social.","Não investigar contatos; achar que BCG exclui TB.","TEP cobra investigação de contatos e RN coabitante.","☑ Contato ☑ RX ☑ PT/IGRA ☑ Pontuação ☑ HIV ☑ Notificação","BCG protege contra?::Formas graves | Criança com TB exige buscar?::Adulto fonte","TB pediátrica é mais clínica e epidemiológica que bacteriológica. O contato domiciliar e o sistema de pontuação são centrais para prova.","Criança contato de TB bacilífera, assintomática, RX normal, PT 8mm. Conduta? A) Alta B) Tratar ILTB C) BCG apenas D) Esperar sintomas. Resposta: B."
Dengue pediátrica,Infectologia,4,"Arbovirose febril com risco de extravasamento plasmático, choque e sangramentos.","Resposta inflamatória e aumento de permeabilidade vascular, sobretudo na fase crítica.","Febre; mialgia; cefaleia; dor retro-orbitária; exantema; dor abdominal; vômitos; sangramentos.","Clínico-epidemiológico; hemograma/hematócrito; testes conforme fase.","Classificar gravidade e hidratar conforme grupo; orientar sinais de alarme.","Hidratação oral/venosa conforme classificação; suporte; evitar AINEs.","Plaqueta baixa isolada não define gravidade; sinais de alarme mudam conduta.","Dor abdominal intensa e vômitos persistentes são sinais de alarme.","Suspeita dengue → procurar sinais alarme → classificar → hidratar → reavaliar.","Sem alarme → oral; com alarme → observação/EV; choque → expansão.","Classificação MS/OMS.","Dor abdominal intensa; vômitos persistentes; hipotensão; letargia; sangramento importante.","Sinais de alarme; choque; comorbidade; lactentes; má hidratação.","Usar AAS/ibuprofeno; focar só em plaquetas.","TEP cobra hidratação e sinais de alarme.","☑ Febre ☑ Hematócrito ☑ Plaquetas ☑ Sinais alarme ☑ Hidratação ☑ Evitar AINE","Plaqueta define gravidade isolada?::Não | Conduta central?::Hidratação","Dengue em pediatria é classificação dinâmica. Sinais de alarme e hidratação correta são os pontos que mais mudam prognóstico.","Criança com dengue, dor abdominal intensa e vômitos persistentes. Classificação? A) Sem alarme B) Com alarme C) Alta simples D) Antibiótico. Resposta: B."
HIV exposto neonatal,Infectologia,5,"Recém-nascido exposto ao HIV por gestação, parto ou aleitamento.","Risco de transmissão vertical depende principalmente da carga viral materna, TARV e condições do parto.","Geralmente assintomático ao nascer; risco definido por história materna e carga viral.","Avaliar risco; diagnóstico em menores de 18 meses é virológico, não sorológico isolado.","Iniciar profilaxia nas primeiras horas, contraindicar amamentação e acompanhar com exames.","Baixo risco: AZT conforme protocolo; alto risco: esquema triplo como AZT + 3TC + RAL se critérios; SMX-TMP a partir de 4 semanas até excluir infecção.","No Brasil, amamentação é contraindicada mesmo com mãe indetectável.","Carga viral materna no 3º trimestre define conduta do RN.","RN exposto → banho/cuidados → ARV até 4h → não amamentar → seguimento virológico.","Classificar risco → AZT isolado ou esquema ampliado → profilaxia PCP.","—","Mãe sem pré-natal; CV alta/desconhecida; prematuridade; sinais de infecção.","Alto risco social/adesão; necessidade de seguimento especializado.","Permitir amamentação; usar sorologia para confirmar <18 meses.","TEP cobra o que NÃO fazer: não amamentar.","☑ CV materna ☑ ARV até 4h ☑ Não amamentar ☑ SMX-TMP 4 semanas ☑ Diagnóstico virológico","Amamentação no Brasil?::Contraindicada | Profilaxia PCP inicia quando?::4 semanas","O manejo do RN exposto é protocolo-dependente. A carga viral materna e o pré-natal definem risco e esquema profilático.","RN termo, mãe sem pré-natal e teste HIV positivo no parto. Profilaxia? A) AZT isolado B) AZT+3TC+RAL C) Nada D) Amamentar. Resposta: B."
