title,tema,dificuldade,definicao,fisiopatologia,sinais_sintomas,diagnostico,conduta,tratamento,pegadinhas,resumo,fluxograma,algoritmo,score_clinico,sinais_gravidade,criterios_internacao,erros_comuns,dica_tep,checklist,flashcards,mini_aula,simulado
Marcos do desenvolvimento,Desenvolvimento,4,"Sequência esperada de aquisições motoras, cognitivas, sociais e de linguagem.","O neurodesenvolvimento depende de maturação neurológica, estímulo ambiental e condições de saúde.","Atraso motor; atraso de fala; perda de habilidades; dificuldades sociais.","Avaliação clínica longitudinal com marcos por idade.","Identificar atraso precoce e encaminhar para estimulação/intervenção.","Estimulação precoce e tratamento da causa base.","Perda de habilidades é mais preocupante que atraso isolado.","Marcos são cobrados por idade.","Queixa → comparar marcos → atraso global ou isolado → investigar.","Triagem e intervenção precoce.","Denver II.","Regressão; perda habilidades; atraso global.","Regressão; suspeita neurológica importante.","Esperar demais para investigar.","TEP cobra sentar, andar e fala.","☑ Motor ☑ Linguagem ☑ Social ☑ Regressão","Anda sozinho por volta de?::12 meses | Regressão preocupa?::Sim","Avaliar desenvolvimento é essencial em pediatria. O acompanhamento longitudinal detecta atrasos precocemente.","Lactente 18 meses sem andar. Conduta? A) Normal sempre B) Investigar desenvolvimento C) Alta D) Antibiótico. Resposta: B."
Atraso de linguagem,Desenvolvimento,4,"Aquisição da linguagem abaixo do esperado para idade.","Pode decorrer de perda auditiva, TEA, privação ambiental ou transtornos específicos.","Poucas palavras; ausência de frases; pouca interação verbal.","Avaliação auditiva e do desenvolvimento.","Investigar audição e sinais de TEA.","Fonoaudiologia e intervenção precoce.","Triagem auditiva é obrigatória.","Atraso de fala não é sempre preguiça.","Atraso fala → audição → desenvolvimento global.","Encaminhar cedo.","M-CHAT quando indicado.","Regressão; ausência contato social.","Regressão ou suspeita TEA.","Esperar até idade tardia.","TEP cobra audição.","☑ Audição ☑ Linguagem ☑ Interação social","Primeiro exame importante?::Audição | TEA pode associar?::Sim","Linguagem depende de audição e interação social adequadas.","Criança 2 anos sem palavras compreensíveis. Exame importante? A) Audição B) ECG C) TC sempre D) Colonoscopia. Resposta: A."
Puberdade normal,Adolescência,3,"Processo fisiológico de maturação sexual.","Ativação do eixo hipotálamo-hipófise-gonadal.","Telarca; pubarca; aumento testicular; estirão.","Clínico.","Orientação e acompanhamento.","Educação em saúde.","Sequência puberal cai muito.","Menarca ocorre após telarca.","Sinais puberais → Tanner → acompanhar.","Avaliar normalidade.","Tanner.","Puberdade muito precoce/tardia.","Suspeita endocrinológica.","Confundir variantes normais.","TEP cobra Tanner.","☑ Tanner ☑ Idade ☑ Crescimento","Primeiro sinal meninas?::Telarca | Menarca ocorre após?::Estirão","Puberdade normal segue sequência previsível.","Primeiro sinal puberal feminino? A) Menarca B) Telarca C) Pubarca D) Acne. Resposta: B."
Puberdade tardia,Adolescência,4,"Ausência de desenvolvimento puberal em idade esperada.","Pode ser constitucional, endocrinológica ou sistêmica.","Ausência caracteres sexuais secundários.","Clínico + hormonal.","Avaliar crescimento, Tanner e causas.","Tratar causa.","Constitucional é comum.","Meninos preocupam após 14 anos sem puberdade.","Sem puberdade → Tanner → hormônios.","Idade óssea ajuda.","Tanner.","Baixa estatura importante; sintomas sistêmicos.","Suspeita endocrinológica.","Não calcular idade óssea.","TEP cobra limites etários.","☑ Tanner ☑ Idade óssea ☑ Crescimento","Menino sem puberdade após?::14 anos | Exame útil?::Idade óssea","Puberdade tardia exige diferenciar variante constitucional de doença.","Menino 15 anos Tanner 1. Conduta? A) Normal sempre B) Investigar puberdade tardia C) Alta D) Corticoide. Resposta: B."
Acne na adolescência,Adolescência,2,"Doença inflamatória da unidade pilossebácea.","Andrógenos aumentam produção sebácea.","Comedões; pápulas; pústulas.","Clínico.","Classificar gravidade.","Retinoides tópicos; antibióticos em casos moderados/graves.","Manipular acne piora cicatriz.","Comedão é lesão fundamental.","Lesões → classificar → tratar.","Orientação adesão.","—","Nódulos; cicatrizes.","Acne nodulocística.","Usar corticoide tópico inadequadamente.","TEP cobra comedão.","☑ Comedões ☑ Inflamação ☑ Cicatriz","Lesão fundamental?::Comedão | Manipular piora?::Cicatriz","Acne é extremamente prevalente e o tratamento depende da gravidade.","Adolescente com comedões e pústulas. Diagnóstico? A) Acne B) Psoríase C) Escabiose D) Vitiligo. Resposta: A."
Obesidade na adolescência,Adolescência,4,"Excesso de adiposidade em adolescentes.","Multifatorial, associada a hábitos, genética e ambiente.","IMC elevado; acantose; baixa autoestima.","IMC por idade.","Mudança de estilo de vida.","Plano alimentar, atividade física e suporte psicológico.","Estigma piora adesão.","Avaliar saúde mental.","IMC ↑ → investigar comorbidades.","Abordagem familiar.","IMC.","HAS; DM2; depressão.","Comorbidades importantes.","Dietas extremas.","TEP cobra acantose.","☑ IMC ☑ PA ☑ Glicemia ☑ Saúde mental","Acantose sugere?::Resistência insulínica | Classificação?::IMC por idade","Obesidade é doença crônica e deve ser tratada sem estigma.","Adolescente obeso com acantose. Achado sugere? A) Resistência insulínica B) TB C) Anemia D) ITU. Resposta: A."
Hipertensão arterial pediátrica,Ambulatorial,4,"Elevação sustentada da pressão arterial na infância/adolescência.","Pode ser primária ou secundária.","Muitas vezes assintomática; cefaleia; tontura.","PA por percentil para idade/altura.","Confirmar medidas e investigar causa.","Mudança estilo vida ± medicação.","Manguito inadequado altera medida.","PA deve ser medida em pediatria.","PA alterada → repetir → percentil → investigar.","Confirmar em múltiplas consultas.","Percentis PA.","HAS grave; encefalopatia.","HAS grave/secundária.","Usar manguito errado.","TEP cobra percentis.","☑ Manguito ☑ Percentil ☑ Repetir medida","PA infantil usa?::Percentis | Manguito errado altera?::Sim","HAS pediátrica está aumentando com obesidade.","Adolescente obeso com PA elevada. Conduta? A) Ignorar B) Confirmar e investigar C) Alta D) Antibiótico. Resposta: B."
Constipação funcional,Ambulatorial,3,"Dificuldade evacuatória sem causa orgânica.","Retenção fecal dolorosa perpetua ciclo.","Dor evacuatória; fezes endurecidas; escape fecal.","Clínico.","Educação familiar e desimpactação quando necessário.","Macrogol/laxativos e mudanças hábitos.","Escape fecal pode ocorrer.","Dor leva retenção voluntária.","Constipação → orientar → tratar.","Educação é essencial.","Critérios Roma.","Distensão importante; perda peso.","Suspeita orgânica.","Suspender laxativo cedo.","TEP cobra escape fecal.","☑ Dieta ☑ Hidratação ☑ Fezes ☑ Escape","Escape fecal pode ocorrer?::Sim | Causa comum?::Funcional","Constipação funcional é muito comum e depende de adesão familiar.","Criança com escape fecal e fezes endurecidas. Hipótese? A) Constipação funcional B) Meningite C) ITU D) Asma. Resposta: A."
Dor abdominal recorrente,Ambulatorial,3,"Dor abdominal repetida sem causa orgânica identificada na maioria.","Fatores funcionais e psicossociais frequentemente envolvidos.","Dor recorrente; exame normal.","Clínico.","Buscar sinais de alarme.","Orientação e seguimento.","Perda peso/sangue são alarmes.","Maioria é funcional.","Dor → sinais alarme? → investigar.","Funcional é diagnóstico positivo.","Critérios Roma.","Perda peso; sangue; febre.","Sinais de alarme.","Excesso exames sem alarme.","TEP cobra sinais de alarme.","☑ Peso ☑ Sangue ☑ Crescimento ☑ Febre","Maioria das dores recorrentes é?::Funcional | Sinal de alarme?::Perda peso","Dor abdominal funcional é comum e exige evitar excesso de exames.","Criança com dor abdominal recorrente e crescimento normal. Hipótese mais provável? A) Funcional B) Tumor sempre C) Meningite D) Sepse. Resposta: A."
Enurese noturna,Ambulatorial,3,"Micção involuntária durante o sono em idade esperada para continência.","Relacionada a maturação vesical e fatores familiares.","Perda urinária noturna.","Clínico.","Orientar família e excluir sintomas urinários.","Alarmes urinários e medidas comportamentais.","Punição piora quadro.","História familiar é comum.","Enurese → avaliar sintomas diurnos.","Conduta gradual.","—","Disúria; poliúria; perda ponderal.","Sintomas urinários importantes.","Punir criança.","TEP cobra idade de continência.","☑ História familiar ☑ Sintomas urinários ☑ Constipação","Enurese é comum até?::~5 anos | Punição ajuda?::Não","Enurese é frequente e deve ser abordada sem culpa.","Menino 7 anos com enurese isolada noturna. Conduta inicial? A) Punir B) Orientar e medidas comportamentais C) Cirurgia D) Corticoide. Resposta: B."
