title,tema,dificuldade,definicao,fisiopatologia,sinais_sintomas,diagnostico,conduta,tratamento,pegadinhas,resumo,fluxograma,algoritmo,score_clinico,sinais_gravidade,criterios_internacao,erros_comuns,dica_tep,checklist,flashcards,mini_aula,simulado
Convulsão febril,Neurologia,3,"Crise convulsiva associada à febre em crianças entre 6 meses e 5 anos sem infecção do SNC.","A febre reduz o limiar convulsivo em crianças predispostas.","Crise tônico-clônica generalizada; febre; recuperação rápida na forma simples.","Diagnóstico clínico.","Avaliar ABC, controlar crise se >5 min e pesquisar causa da febre.","Benzodiazepínico se crise prolongada.","Convulsão simples: <15 min, única em 24h, generalizada.","TEP cobra diferença entre simples e complexa.","Febre + crise → duração/focalidade → sinais meníngeos.","Crise >5 min → benzodiazepínico.","—","Focalidade; rigidez nucal; rebaixamento persistente.","Convulsão complexa; suspeita SNC.","Pedir TC/EEG de rotina.","TEP ama simples x complexa.","☑ Duração ☑ Focalidade ☑ Recuperação ☑ Febre","Simples dura quanto?::<15 min | Precisa TC?::Não rotineiramente","Convulsão febril simples é benigna. O foco é reconhecer sinais de complexidade e meningite.","Criança 2 anos, crise generalizada 3 min com febre. Conduta? A) EEG urgente B) Orientar e tratar febre C) Fenitoína crônica D) TC. Resposta: B."
Epilepsia,Neurologia,4,"Doença caracterizada por predisposição a crises epilépticas recorrentes.","Descargas neuronais excessivas e sincronizadas.","Crises focais ou generalizadas recorrentes.","História clínica + EEG; neuroimagem em casos selecionados.","Classificar tipo de crise e iniciar anticonvulsivante quando indicado.","Anticonvulsivantes conforme síndrome/crise.","Nem toda crise isolada é epilepsia.","Diagnóstico depende de recorrência/risco.","Crise → classificar → EEG → tratamento.","Tipo de crise define droga.","—","Estado de mal; rebaixamento; trauma.","Estado de mal; investigação inicial.","Usar anticonvulsivante inadequado para tipo de crise.","TEP cobra crise focal x generalizada.","☑ Tipo crise ☑ EEG ☑ Recorrência ☑ Neuroimagem","Toda crise é epilepsia?::Não | Exame importante?::EEG","Epilepsia exige classificação correta das crises para definir tratamento adequado.","Adolescente com crises recorrentes e EEG alterado. Diagnóstico? A) Epilepsia B) ITU C) Asma D) Dengue. Resposta: A."
Estado de mal epiléptico,Neurologia,5,"Crise prolongada ou repetida sem recuperação da consciência.","Atividade elétrica sustentada causa lesão neuronal e instabilidade sistêmica.","Convulsão prolongada; rebaixamento; hipoxemia.","Diagnóstico clínico imediato.","ABC, glicemia, benzodiazepínico rápido e escalonamento.","Midazolam/diazepam → levetiracetam/fenitoína → UTI se refratário.","Tempo é cérebro.","Após 5 minutos já tratar como estado de mal.","Crise >5 min → benzo → segunda linha → UTI.","ABC + glicemia sempre.","Glasgow.","Hipoxemia; choque; refratariedade.","Toda crise prolongada.","Atrasar benzodiazepínico.","TEP cobra sequência terapêutica.","☑ ABC ☑ Glicemia ☑ Benzodiazepínico ☑ Segunda linha","Quando iniciar tratamento?::>5 min | Primeira droga?::Benzodiazepínico","Estado de mal é emergência neurológica. O tratamento precoce melhora prognóstico.","Criança convulsionando há 8 min. Primeira droga? A) Midazolam B) Amoxicilina C) Corticoide D) Furosemida. Resposta: A."
Meningite bacteriana,Neurologia,5,"Infecção bacteriana das meninges.","Inflamação meníngea com risco de edema cerebral e sepse.","Febre; rigidez nucal; vômitos; petéquias; rebaixamento.","Punção lombar quando segura.","Antibiótico imediato.","Ceftriaxona/cefotaxima ± vancomicina.","Petéquias sugerem meningococcemia.","Não atrasar antibiótico.","Suspeita → estabilizar → ATB.","Instável? tratar antes da PL.","Glasgow.","Choque; petéquias; convulsão.","Toda suspeita grave.","Esperar exames para iniciar ATB.","TEP ama meningococcemia.","☑ Febre ☑ Rigidez ☑ Petéquias ☑ ATB precoce","Complicação grave?::Choque meningocócico | Conduta inicial?::ATB imediato","Meningite bacteriana é tempo-dependente. O antibiótico não deve atrasar.","Escolar com febre, rigidez e petéquias. Conduta? A) Alta B) Antibiótico imediato C) Esperar cultura D) Antitérmico apenas. Resposta: B."
Hipertensão intracraniana,Neurologia,5,"Elevação da pressão intracraniana.","Edema, sangramento ou massa aumentam pressão intracraniana.","Cefaleia; vômitos; papiledema; rebaixamento.","Clínico + imagem.","Cabeceira elevada, estabilização e neurocirurgia conforme causa.","Manitol/hipertônico em casos indicados.","Tríade de Cushing é tardia.","Vômito em jato + cefaleia matinal = alerta.","Sinais HIC → estabilizar → imagem.","ABC antes de tudo.","Glasgow.","Bradicardia; anisocoria; rebaixamento.","Toda suspeita importante.","Fazer PL em HIC.","TEP cobra contraindicação de PL.","☑ Cefaleia ☑ Vômitos ☑ Papiledema ☑ Glasgow","PL é contraindicada em?::HIC | Tríade de Cushing?::Bradicardia, HAS, alteração respiratória","HIC é emergência neurológica. O erro clássico é fazer PL antes de imagem em paciente com sinais de HIC.","Criança com cefaleia, vômitos e papiledema. Conduta? A) PL imediata B) Neuroimagem C) Alta D) Antibiótico oral. Resposta: B."
TDAH,Neurologia,3,"Transtorno do neurodesenvolvimento com desatenção e/ou hiperatividade.","Alterações neurobiológicas em circuitos executivos.","Desatenção; impulsividade; hiperatividade.","Diagnóstico clínico funcional.","Avaliação multidisciplinar.","Psicoeducação; terapia; estimulantes quando indicado.","Diagnóstico não é feito só na escola.","Sintomas devem ocorrer em múltiplos ambientes.","Queixa → critérios → impacto funcional.","Avaliar comorbidades.","DSM.","Risco escolar/social.","Impacto funcional importante.","Medicalizar sem avaliação adequada.","TEP cobra múltiplos ambientes.","☑ Escola ☑ Casa ☑ Critérios DSM ☑ Impacto","Sintomas em apenas 1 ambiente fecham diagnóstico?::Não | Tratamento pode incluir?::Estimulantes","TDAH exige prejuízo funcional em mais de um ambiente.","Menino hiperativo apenas na escola. Fecha TDAH? A) Sim B) Não necessariamente C) Sempre autismo D) Epilepsia. Resposta: B."
TEA,Neurologia,4,"Transtorno do espectro autista.","Alterações do neurodesenvolvimento com prejuízo social/comunicação.","Atraso linguagem; estereotipias; dificuldade interação.","Clínico.","Intervenção precoce multidisciplinar.","Terapias de desenvolvimento.","Atraso de fala isolado não define TEA.","Intervenção precoce melhora prognóstico.","Sinais sociais → avaliação especializada.","Triagem precoce.","M-CHAT.","Perda habilidades; regressão.","Necessidade suporte importante.","Esperar demais para encaminhar.","TEP cobra sinais precoces.","☑ Linguagem ☑ Contato visual ☑ Estereotipias ☑ M-CHAT","Ferramenta rastreio?::M-CHAT | Intervenção precoce ajuda?::Sim","TEA é diagnóstico clínico e intervenção precoce muda evolução.","Criança com pouco contato visual e estereotipias. Hipótese? A) TEA B) Asma C) ITU D) Dengue. Resposta: A."
Anemia ferropriva,Hematologia,3,"Anemia por deficiência de ferro.","Baixa oferta ou perda de ferro reduz produção hemoglobina.","Palidez; fadiga; pica.","Hemograma + ferritina.","Corrigir dieta e suplementar ferro.","Sulfato ferroso.","Leite excessivo é fator clássico.","Microcitose + ferritina baixa.","Palidez → Hb/ferritina → tratar.","Investigar causa.","—","Taquicardia; Hb muito baixa.","Anemia grave.","Dar ferro sem orientar adesão.","TEP cobra leite de vaca.","☑ Hb ☑ Ferritina ☑ Dieta ☑ Ferro","Anemia mais comum?::Ferropriva | Tratamento?::Ferro oral","Anemia ferropriva é muito prevalente e altamente cobrada.","Lactente com palidez e ferritina baixa. Tratamento? A) Ferro B) Corticoide C) Insulina D) Penicilina. Resposta: A."
Anemia falciforme,Hematologia,5,"Hemoglobinopatia hereditária com falcização eritrocitária.","Hemoglobina S causa vaso-oclusão e hemólise.","Dor; icterícia; dactilite; infecções.","Eletroforese hemoglobina.","Prevenção de infecções e manejo crises.","Penicilina profilática; vacina; hidratação; analgesia.","Febre em falcêmico é emergência.","Asplenia funcional aumenta risco infeccioso.","Febre/dor → avaliar complicações.","Prevenir sepse.","—","Febre; dor torácica; AVC.","Febre; síndrome torácica.","Subestimar febre.","TEP cobra dactilite.","☑ Vacinas ☑ Penicilina ☑ Dor ☑ Febre","Febre no falcêmico é?::Emergência | Profilaxia?::Penicilina","Anemia falciforme exige prevenção e reconhecimento precoce de complicações.","Criança falcêmica febril. Conduta? A) Alta B) Avaliação urgente C) Apenas antitérmico D) Observar casa. Resposta: B."
PTI,Hematologia,4,"Púrpura trombocitopênica imune.","Destruição imune de plaquetas.","Petéquias; equimoses.","Plaquetopenia isolada.","Avaliar sangramento.","Observação ou IVIG/corticoide.","Hemograma isolado com plaquetopenia.","Maioria pós-viral.","Petéquias → plaquetas → excluir leucemia.","Sangramento guia tratamento.","—","Sangramento SNC.","Plaquetas muito baixas + sangramento.","Tratar número sem avaliar clínica.","TEP cobra criança bem com petéquias.","☑ Petéquias ☑ Plaquetas ☑ Sem hepatoespleno","Achado clássico?::Plaquetopenia isolada | Pós quê?::Viral","PTI geralmente é benigna e autolimitada.","Criança bem, petéquias e plaquetas 15 mil. Hipótese? A) PTI B) Dengue sempre C) Meningite D) Asma. Resposta: A."
