title,simulado
RN com SDR,"Prematuro de 30 semanas evolui nas primeiras horas com gemencia, retracoes, SatO2 baixa e RX com baixo volume pulmonar, vidro fosco difuso e broncogramas aereos. Qual a melhor conduta inicial?
A) Antibiotico isolado e observacao
B) Oxigenio livre sem pressao positiva
C) CPAP nasal precoce, controle termico e avaliacao de surfactante se falha/FiO2 crescente
D) Alta apos melhora da cor
Resposta correta: C
Explicacao: O quadro e SDR neonatal. A conduta inicial e suporte com CPAP precoce, oxigenio titulado e reavaliacao para surfactante, alem de controle termico e avaliacao de diferenciais."
Sepse neonatal precoce,"RN de 16 horas apresenta hipotermia, hipoatividade, apneia e ma perfusao. Mae teve febre intraparto e rotura prolongada de membranas. Qual conduta e mais adequada?
A) Aguardar febre para investigar
B) Hemograma e alta se leucocitos normais
C) Monitorizar, coletar hemocultura se nao atrasar e iniciar antibiotico EV empirico imediatamente
D) Apenas fototerapia preventiva
Resposta correta: C
Explicacao: RN sintomatico com fatores de risco tem suspeita de sepse neonatal precoce. Exames nao devem atrasar antibiotico e suporte."
Reanimação neonatal,"RN nasce hipotônico e apneico. Apos aquecer, posicionar, secar e estimular, permanece em gasping com FC 80 bpm. Qual e a proxima intervencao?
A) Compressões toracicas imediatas
B) Ventilacao com pressao positiva efetiva
C) Adrenalina endotraqueal como primeira medida
D) Aguardar Apgar de 5 minutos
Resposta correta: B
Explicacao: Apneia/gasping ou FC <100 apos passos iniciais indicam VPP. Compressões sao para FC <60 apos ventilacao efetiva."
Icterícia neonatal,"RN de 18 horas apresenta ictericia visivel. Esta mamando pouco e tem incompatibilidade ABO suspeita. Qual conduta e correta?
A) Banho de sol e retorno em 7 dias
B) Usar apenas escala de Kramer
C) Dosar bilirrubina total e fracoes, interpretar por idade em horas/IG/risco e tratar conforme curva
D) Fototerapia domiciliar sem dosagem
Resposta correta: C
Explicacao: Ictericia antes de 24h e patologica ate prova em contrario. A decisao depende de bilirrubina, idade em horas, idade gestacional e fatores de risco."
Hipoglicemia neonatal,"RN filho de mae diabetica apresenta tremores e glicemia capilar baixa na primeira hora de vida. Qual e a melhor conduta inicial?
A) Aguardar a proxima mamada sem repetir glicemia
B) Corrigir imediatamente com dextrose 10% EV e iniciar monitorizacao
C) Administrar dextrose 50% pura em bolus rapido
D) Solicitar TC de cranio antes de tratar
Resposta correta: B
Explicacao: RN sintomatico com hipoglicemia exige correcao imediata. D10 EV e a solucao usada em neonatos; solucoes hipertônicas concentradas devem ser evitadas."
Prematuridade,"RN de 33 semanas aparentemente estavel fica em alojamento conjunto. Nas primeiras horas apresenta hipotermia e dificuldade de sucção. Qual afirmacao e correta?
A) Prematuro tardio nao precisa vigilancia se nasceu chorando
B) Deve-se avaliar temperatura, glicemia, alimentacao, ictericia e risco respiratorio de forma ativa
C) Agua glicosada previne todas as complicacoes
D) Alta precoce e indicada se SatO2 normal uma vez
Resposta correta: B
Explicacao: Prematuros, inclusive tardios, tem risco de hipoglicemia, hipotermia, ictericia, dificuldade alimentar e desconforto respiratorio."
Choque séptico,"Lactente febril chega sonolento, taquicardico, TEC 5 segundos, extremidades frias e diurese reduzida. PA ainda normal. Qual alternativa e correta?
A) Nao ha choque porque nao ha hipotensao
B) Choque compensado e possivel; iniciar sepsis bundle com acesso, antibiotico, fluidos reavaliados e UTI se refratario
C) Aguardar lactato para iniciar antibiotico
D) Dar alta apos antitermico se febre baixar
Resposta correta: B
Explicacao: Hipotensao e tardia na crianca. Perfusao ruim em contexto infeccioso define alto risco e exige tratamento imediato."
Asma grave,"Escolar asmatico chega com SatO2 89%, fala entrecortada, tiragem intensa e sibilos difusos. Apos SABA inicial e corticoide, mantem desconforto importante. Qual droga deve ser considerada na crise grave refrataria?
A) Loratadina
B) Furosemida
C) Sulfato de magnesio IV
D) Amoxicilina de rotina
Resposta correta: C
Explicacao: Na asma grave ou refrataria, apos tratamento inicial adequado, MgSO4 IV e uma opcao de escalonamento. Silencio toracico ou sonolencia indicam gravidade extrema."
Cetoacidose diabética,"Adolescente com perda ponderal, vomitos, dor abdominal, respiracao de Kussmaul, glicemia 480 mg/dL, cetonemia positiva e pH 7,12. Qual conduta inicial e mais adequada?
A) Bolus de insulina regular imediatamente
B) Bicarbonato de rotina
C) Hidratar de forma protocolada, avaliar potassio e iniciar insulina EV continua sem bolus apos fase inicial
D) Tratar como gastroenterite e alta
Resposta correta: C
Explicacao: Na CAD pediatrica, evita-se bolus de insulina e bicarbonato de rotina. Fluido, potassio, insulina EV continua e vigilancia neurologica sao fundamentais."
Convulsão febril,"Crianca de 2 anos teve crise tonico-clonica generalizada de 4 minutos durante febre, unica em 24h, recuperou completamente e exame neurologico esta normal. Qual conduta e adequada?
A) TC de cranio e EEG obrigatorios
B) Anticonvulsivante cronico
C) Investigar foco da febre, orientar familia e reconhecer como convulsao febril simples se sem sinais de alarme
D) Punção lombar em todos os casos
Resposta correta: C
Explicacao: Convulsao febril simples e generalizada, <15 min, unica em 24h e com recuperacao completa. Exames neurologicos de rotina nao sao indicados sem sinais de alerta."
Desidratação grave,"Lactente com diarreia apresenta letargia, olhos fundos, incapacidade de beber, TEC 5 segundos e pulso fino. Qual conduta inicial?
A) SRO domiciliar e retorno se piorar
B) Cristaloide isotônico EV/IO em bolus com reavaliacao da perfusao
C) Antibiotico oral isolado
D) Antiemetico e alta
Resposta correta: B
Explicacao: Sinais de choque/ma perfusao exigem ressuscitacao com cristaloide e reavaliacao. SRO entra quando houver seguranca para via oral."
