title,simulado
RN com SDR,"Prematuro de 30 semanas apresenta gemência, retrações e necessidade crescente de O2 nas primeiras horas de vida. RX mostra padrão reticulogranular difuso com broncogramas aéreos. Qual a melhor conduta inicial?\nA) Antibioticoterapia isolada\nB) Salbutamol inalatório\nC) CPAP nasal precoce\nD) Restrição hídrica\nResposta correta: C\nExplicação: SDR neonatal é causada por deficiência de surfactante. O tratamento inicial envolve suporte respiratório precoce com CPAP e avaliação de surfactante."
Sepse neonatal precoce,"RN com 18 horas de vida apresenta hipotermia, apneia e recusa alimentar. Mãe teve febre intraparto e rotura de membranas prolongada. Qual a melhor conduta?\nA) Observar por 24h\nB) Alta com retorno precoce\nC) Hemocultura e antibiótico EV precoce\nD) Apenas glicemia capilar\nResposta correta: C\nExplicação: RN instável com fatores de risco maternos exige investigação e antibiótico imediato."
Asma grave,"Criança de 6 anos chega ao PS com Sat 89%, tiragem intensa, fala entrecortada e sibilância difusa. Após salbutamol inicial mantém desconforto importante. Qual medicação deve ser considerada?\nA) Amoxicilina\nB) Sulfato de magnésio\nC) Furosemida\nD) Loratadina\nResposta correta: B\nExplicação: Sulfato de magnésio está indicado em crise asmática grave ou refratária."
Choque séptico,"Lactente febril apresenta taquicardia, TEC 5 segundos, extremidades frias e oligúria, mas pressão arterial normal. Qual afirmação é correta?\nA) Não há choque sem hipotensão\nB) Deve receber apenas observação\nC) Choque compensado pode ocorrer sem hipotensão\nD) Antibiótico pode esperar exames\nResposta correta: C\nExplicação: Em pediatria, hipotensão é sinal tardio de choque."
Cetoacidose diabética,"Adolescente com poliúria, polidipsia e Kussmaul apresenta glicemia 480 mg/dL e acidose metabólica. Qual erro deve ser evitado?\nA) Hidratação inicial\nB) Avaliação do potássio\nC) Bolus de insulina EV\nD) Monitorização neurológica\nResposta correta: C\nExplicação: Bolus de insulina aumenta risco de edema cerebral."
Convulsão febril,"Criança de 2 anos apresenta crise tônico-clônica generalizada de 3 minutos associada à febre, retornando rapidamente ao basal. Qual a classificação?\nA) Epilepsia\nB) Convulsão febril complexa\nC) Estado de mal epiléptico\nD) Convulsão febril simples\nResposta correta: D\nExplicação: Crise generalizada, curta e única em 24h caracteriza convulsão febril simples."
Desidratação grave,"Lactente com diarreia apresenta letargia, olhos fundos, TEC aumentado e pulso fino. Qual a melhor abordagem inicial?\nA) Apenas SRO\nB) Restrição hídrica\nC) Cristaloide isotônico EV\nD) Antibiótico oral imediato\nResposta correta: C\nExplicação: Desidratação grave com má perfusão exige expansão volêmica EV."
Icterícia neonatal,"RN de 18 horas apresenta icterícia intensa. Qual afirmação é correta?\nA) Icterícia fisiológica é a hipótese mais provável\nB) Icterícia antes de 24h é sempre fisiológica\nC) Deve-se dosar bilirrubina imediatamente\nD) Não há necessidade de investigação\nResposta correta: C\nExplicação: Icterícia antes de 24h é patológica até prova em contrário."
Hipoglicemia neonatal,"RN filho de mãe diabética apresenta tremores e sucção fraca. Qual exame deve ser realizado imediatamente?\nA) Bilirrubina\nB) Glicemia\nC) Gasometria\nD) Hemograma\nResposta correta: B\nExplicação: Tremores no RN exigem exclusão imediata de hipoglicemia."
Prematuridade,"Qual complicação está mais associada ao prematuro extremo?\nA) Obesidade\nB) Doença celíaca\nC) SDR neonatal\nD) Hipertensão arterial essencial\nResposta correta: C\nExplicação: Prematuridade extrema aumenta muito o risco de SDR por deficiência de surfactante."
