title,flashcards
RN com SDR,"Qual e o conceito central em RN com SDR?::Prematuro com desconforto progressivo nas primeiras horas: pensar SDR, aquecer, monitorar, CPAP precoce, O2 titulado e surfactante se falha/FiO2 crescente.|Qual sinal de gravidade nao pode ser perdido?::Apneia.|Qual e a principal pegadinha TEP?::TTN geralmente melhora em 24-72h e e mais comum em termo/cesarea; SDR do prematuro tende a piorar nas primeiras horas. Gemencia e uma tentativa de manter PEEP. RX pode demorar a ficar classico no inicio.|Qual conduta inicial em emergencia?::ABCDE neonatal: aquecer, posicionar via aerea, monitorizar SatO2/FC, iniciar CPAP se respirando com esforco, titular O2, corrigir hipoglicemia/hipotermia, solicitar RX/gasometria conforme gravidade e chamar UTI neonatal se FiO2 crescente, apneia, acidose ou falha de CPAP.|Quando considerar UTI?::Prematuro com necessidade de CPAP, FiO2 crescente, surfactante, ventilacao mecanica, apneia recorrente, acidose, instabilidade termica/metabolica ou suspeita de sepse associada.|Qual erro comum deve ser evitado?::Atrasar CPAP.|Qual diferencial importante?::Taquipneia transitoria do RN.|Qual checklist mental rapido?::Confirmar IG e peso | Aquecer | Oximetria/FC | Glicemia | CPAP se indicado | RX se necessario | Avaliar sepse/diferenciais | Considerar surfactante | Definir UTI/transporte seguro"
Sepse neonatal precoce,"Qual e o conceito central em Sepse neonatal precoce?::Sepse neonatal precoce e diagnostico de risco: sinais podem ser sutis, mas a evolucao e rapida. Trate RN sintomatico antes de esperar exames perfeitos.|Qual sinal de gravidade nao pode ser perdido?::Apneia.|Qual e a principal pegadinha TEP?::Sepse neonatal pode se apresentar como desconforto respiratorio isolado. Hipotermia e tao relevante quanto febre. Prematuro pode parecer pouco sintomatico ate descompensar.|Qual conduta inicial em emergencia?::Se RN instavel: ABC, temperatura, glicemia, perfusao, acesso venoso/IO, hemocultura se possivel, antibiotico imediato, suporte ventilatorio e volume/vasoativo se choque.|Quando considerar UTI?::Instabilidade respiratoria ou hemodinamica, apneia recorrente, choque, convulsao, acidose, necessidade de ventilacao, prematuridade importante ou suspeita de meningite grave.|Qual erro comum deve ser evitado?::Aguardar febre.|Qual diferencial importante?::SDR.|Qual checklist mental rapido?::Temperatura | Glicemia | Perfusao | Respiracao | Hemocultura se possivel | ATB precoce | Avaliar liquor se indicado | Monitorar diurese | Reavaliar culturas em 24-48h"
Reanimação neonatal,"Qual e o conceito central em Reanimação neonatal?::Reanimacao neonatal e algoritmo ventilatorio: aquecer, posicionar, estimular, avaliar FC/respiracao e iniciar VPP quando indicado.|Qual sinal de gravidade nao pode ser perdido?::FC <60.|Qual e a principal pegadinha TEP?::Bradicardia neonatal geralmente e problema ventilatorio. A manobra que salva e VPP efetiva. Liquido meconial nao indica aspiracao traqueal rotineira se RN esta vigoroso.|Qual conduta inicial em emergencia?::Se RN apneico/gasping ou FC <100 apos passos iniciais: VPP imediata e checar expansao toracica.|Quando considerar UTI?::Compressões, adrenalina, intubacao, ventilacao prolongada, acidose/asfixia, convulsao, encefalopatia, prematuridade importante ou necessidade de suporte respiratorio continuo.|Qual erro comum deve ser evitado?::Usar Apgar para decidir inicio.|Qual diferencial importante?::Depressao por drogas maternas.|Qual checklist mental rapido?::Equipe avisada | Calor ligado | Mascara/tamanho | Blender/O2/ar | Aspirador se obstrucao | Oximetro pre-ductal | Avaliar FC | VPP com expansao toracica | Escalar se FC <60"
Icterícia neonatal,"Qual e o conceito central em Icterícia neonatal?::Ictericia neonatal nao se maneja no olho: dose BT/frações e interprete por idade em horas, IG e risco.|Qual sinal de gravidade nao pode ser perdido?::Ictericia nas primeiras 24h.|Qual e a principal pegadinha TEP?::A conduta depende de idade em horas, IG e fatores de neurotoxicidade. AAP 2022 mudou limiares; usar calculadora/curva atualizada. Bilirrubina direta elevada sugere colestase, nao ictericia fisiologica.|Qual conduta inicial em emergencia?::Ictericia <24h, sinais neurologicos ou BT proxima/acima de limiar: dosar BT/frações imediatamente, iniciar fototerapia intensiva se indicado, avaliar hemolise e acionar neonatologia.|Quando considerar UTI?::Limiar de escalonamento/exsanguineotransfusao, encefalopatia bilirrubinica, hemolise grave, instabilidade clinica, prematuridade importante.|Qual erro comum deve ser evitado?::Usar apenas Kramer para decidir.|Qual diferencial importante?::Ictericia fisiologica.|Qual checklist mental rapido?::Idade em horas | IG | Peso/perda | BT/frações | DAT/grupo se risco | G6PD se indicado | Curva atualizada | Fototerapia se limiar | Retorno programado"
Hipoglicemia neonatal,"Qual e o conceito central em Hipoglicemia neonatal?::Hipoglicemia neonatal e tempo-dependente: reconhecer risco, medir cedo e corrigir rapido se sintomatica.|Qual sinal de gravidade nao pode ser perdido?::Convulsao.|Qual e a principal pegadinha TEP?::Tremor neonatal nem sempre e benigno; checar glicemia. Filho de mae diabetica pode fazer hipoglicemia nas primeiras horas por hiperinsulinismo. Sintoma manda tratar, mesmo enquanto confirma.|Qual conduta inicial em emergencia?::RN sintomatico: ABC, glicemia imediata, D10 EV 2 mL/kg, iniciar infusao, repetir glicemia em 15-30 min conforme protocolo, corrigir hipotermia e investigar sepse/asfixia.|Quando considerar UTI?::Convulsao, apneia, instabilidade, necessidade de acesso central/alta taxa de glicose, suspeita de hiperinsulinismo grave ou erro inato, sepse/asfixia associada.|Qual erro comum deve ser evitado?::Nao rastrear grupos de risco.|Qual diferencial importante?::Sepse.|Qual checklist mental rapido?::Grupo de risco | Primeira glicemia no tempo correto | Alimentacao precoce | Sintomas? | D10 se indicado | Controle seriado | Temperatura | Investigar recorrencia"
Prematuridade,"Qual e o conceito central em Prematuridade?::Cuidar do prematuro e prevenir complicacoes: calor, respiracao, glicose, leite humano, infeccao e seguimento.|Qual sinal de gravidade nao pode ser perdido?::IG muito baixa.|Qual e a principal pegadinha TEP?::Prematuro tardio parece bem, mas descompensa por hipoglicemia, ictericia e falha alimentar. Leite humano reduz risco de enterocolite necrosante.|Qual conduta inicial em emergencia?::Em prematuro instavel: aquecer com saco plastico/touca conforme IG, avaliar respiracao/FC, CPAP/VPP se indicado, glicemia, acesso venoso, prevenir hipotermia e transferir para unidade neonatal adequada.|Quando considerar UTI?::Muito prematuro, extremo baixo peso, necessidade de suporte respiratorio, apneia, instabilidade termica/metabolica, infeccao suspeita, dificuldade alimentar significativa.|Qual erro comum deve ser evitado?::Subestimar prematuro tardio.|Qual diferencial importante?::Restricao de crescimento em termo.|Qual checklist mental rapido?::IG/peso | Temperatura | Respiracao | Glicemia | Alimentacao | Ictericia | Cafeina se apneia | Leite humano | Vacinas/profilaxias | Seguimento"
Choque séptico,"Qual e o conceito central em Choque séptico?::Choque septico pediatrico e diagnostico clinico de perfusao. Antibiotico e ressuscitacao sao tempo-dependentes.|Qual sinal de gravidade nao pode ser perdido?::Alteracao mental.|Qual e a principal pegadinha TEP?::Crianca pode estar em choque com PA normal. TEC, estado mental e diurese valem mais que a PA isolada. Volume nao e infinito: reavaliar pulmoes, hepatomegalia e perfusao.|Qual conduta inicial em emergencia?::ABCDE, oxigenio, monitor, glicemia, acesso IV/IO, culturas se possivel, antibiotico imediato, bolus 10-20 mL/kg com reavaliacao, iniciar vasoativo se refratario, chamar UTI.|Quando considerar UTI?::Choque, necessidade de vasoativo, ventilacao, lactato/acidose persistente, hipotensao, oliguria, alteracao mental, falha de ressuscitacao inicial.|Qual erro comum deve ser evitado?::Esperar hipotensao.|Qual diferencial importante?::Desidratacao grave/choque hipovolemico.|Qual checklist mental rapido?::Infeccao suspeita | FC/PA/TEC/mental/diurese | Glicemia | Lactato se disponivel | Culturas | ATB precoce | Bolus reavaliado | Vasoativo | UTI | Controle foco"
Asma grave,"Qual e o conceito central em Asma grave?::Asma grave e tratamento em ciclos: broncodilatar, reduzir inflamacao, oxigenar, reavaliar e escalar cedo se nao responder.|Qual sinal de gravidade nao pode ser perdido?::SatO2 <=92%.|Qual e a principal pegadinha TEP?::Menos sibilo pode ser piora quando ha pouca entrada de ar. Corticoide nao alivia imediatamente, mas reduz recaida e hospitalizacao. Ipratropio e para primeira hora nos graves, nao manutencao indefinida.|Qual conduta inicial em emergencia?::SatO2/monitor, O2 para alvo adequado, salbutamol imediato, ipratropio se grave, corticoide cedo, reavaliar apos primeira hora.|Quando considerar UTI?::Falha apos 1-2h de terapia intensiva, magnesio/bronchodilatador continuo, hipoxemia persistente, alteracao de consciencia, hipercapnia, exaustao, necessidade de VNI/intubacao.|Qual erro comum deve ser evitado?::Atrasar corticoide.|Qual diferencial importante?::Bronquiolite.|Qual checklist mental rapido?::SatO2 | Fala/consciencia | Tiragem | Ausculta | SABA | Corticoide | Ipratropio se grave | Reavaliar | MgSO4 se refrataria | Plano de alta/controle"
Cetoacidose diabética,"Qual e o conceito central em Cetoacidose diabética?::CAD e protocolo: fluidos cautelosos, potassio, insulina sem bolus e vigilancia neurologica.|Qual sinal de gravidade nao pode ser perdido?::Alteracao de consciencia.|Qual e a principal pegadinha TEP?::Dor abdominal e vomito podem ser CAD, nao gastroenterite. A primeira medida e fluido, nao insulina em bolus. Glicose cair nao significa CAD resolvida; precisa fechar anion gap/acidose/cetose.|Qual conduta inicial em emergencia?::ABC, Glasgow, sinais de choque, glicemia/cetonas/gasometria/eletrólitos, SF/RL 10-20 mL/kg se choque ou desidratacao importante, monitorar K, iniciar insulina EV sem bolus apos fase inicial, vigilancia neurologica horaria.|Quando considerar UTI?::CAD grave, alteracao neurologica, choque, pH muito baixo, distúrbio de potassio, lactentes, necessidade de monitorizacao intensiva ou suspeita de edema cerebral.|Qual erro comum deve ser evitado?::Bolus de insulina.|Qual diferencial importante?::Gastroenterite.|Qual checklist mental rapido?::Glicemia | Cetonas | Gasometria | Na/K corrigidos | Ureia/Cr | ECG se K | Fluido | K | Insulina sem bolus | Neurologico horario | Gatilho"
Convulsão febril,"Qual e o conceito central em Convulsão febril?::Convulsao febril simples e benigna; o trabalho e reconhecer complexidade e sinais de infeccao do SNC.|Qual sinal de gravidade nao pode ser perdido?::Crise >5 min em andamento.|Qual e a principal pegadinha TEP?::Simples nao e igual a primeira crise assustadora; classifica por duracao, focalidade e recorrencia. Antitermico melhora conforto, mas nao e profilaxia confiavel.|Qual conduta inicial em emergencia?::Crise em andamento >5 min: ABC, oxigenio, glicemia, benzodiazepinico, monitorar respiracao e preparar escalonamento se persistir.|Quando considerar UTI?::Estado de mal epileptico, necessidade de via aerea/ventilacao, crise refrataria, meningite/encefalite grave, instabilidade hemodinamica.|Qual erro comum deve ser evitado?::Pedir TC/EEG de rotina na simples.|Qual diferencial importante?::Meningite.|Qual checklist mental rapido?::Duracao | Focalidade | Numero em 24h | Recuperacao | Idade | Sinais meningeos | Glicemia se indicado | Foco febril | Orientacao familia"
