title,flashcards
RN com SDR,"Qual a principal causa da SDR neonatal?::Deficiência de surfactante pulmonar.|Em que grupo a SDR é mais comum?::Recém-nascidos prematuros, especialmente abaixo de 34 semanas.|Qual o mecanismo fisiopatológico principal?::Atelectasia alveolar por aumento da tensão superficial.|Achado radiológico clássico da SDR?::Padrão reticulogranular/vidro fosco com broncogramas aéreos e baixo volume pulmonar.|Qual a conduta inicial no prematuro com desconforto moderado?::CPAP nasal precoce.|Quando considerar surfactante?::Necessidade crescente de oxigênio, esforço importante, acidose ou falha do CPAP.|Principal diferencial benigno da SDR?::Taquipneia transitória do recém-nascido.|Como diferenciar SDR de TTN?::SDR ocorre mais em prematuros e piora progressivamente; TTN ocorre mais em termo/cesárea e melhora em 24–72h."
Sepse neonatal precoce,"Sepse neonatal precoce ocorre em que período?::Nas primeiras 72 horas de vida.|Quais sinais podem indicar sepse neonatal sem febre?::Hipotermia, apneia, letargia, recusa alimentar e má perfusão.|Qual antibiótico empírico clássico?::Ampicilina + gentamicina, ajustadas por idade gestacional, idade pós-natal e função renal.|Hemograma normal exclui sepse neonatal?::Não.|Quando coletar hemocultura?::Antes do antibiótico, se isso não atrasar o início do tratamento.|Qual fator materno aumenta risco?::Corioamnionite, febre intraparto, rotura prolongada de membranas ou colonização por GBS.|Qual conduta em RN instável com suspeita de sepse?::Monitorização, glicemia, suporte, culturas se possível e antibiótico EV imediato."
Reanimação neonatal,"Qual é a intervenção mais importante na reanimação neonatal?::Ventilação com pressão positiva efetiva.|Quando iniciar VPP?::Apneia, gasping ou frequência cardíaca menor que 100 bpm após passos iniciais.|Quando iniciar compressões torácicas?::FC menor que 60 bpm após ventilação efetiva.|Apgar decide o início da reanimação?::Não. Apgar avalia resposta, mas não deve atrasar manobras.|Quais são os passos iniciais?::Aquecer, posicionar, secar, estimular e avaliar respiração/FC.|Qual relação compressão:ventilação no RN?::3:1.|Bradicardia neonatal geralmente é causada por quê?::Hipóxia, por isso ventilação é prioridade."
Icterícia neonatal,"Icterícia antes de 24 horas é considerada o quê?::Patológica até prova em contrário.|Qual exame define conduta na icterícia?::Bilirrubina total/frações interpretada por idade em horas, IG e fatores de risco.|Tratamento principal da hiperbilirrubinemia indireta significativa?::Fototerapia.|Quando considerar exsanguíneotransfusão?::Bilirrubina em níveis críticos conforme curva ou sinais de encefalopatia bilirrubínica.|Kramer substitui bilirrubina sérica?::Não, especialmente em RN de risco.|Quais causas patológicas devem ser lembradas?::Hemólise ABO/Rh, G6PD, sepse, prematuridade e baixa ingesta.|Bilirrubina direta elevada sugere o quê?::Colestase e necessidade de investigação."
Hipoglicemia neonatal,"Quais RN têm maior risco de hipoglicemia?::Prematuros, PIG, GIG e filhos de mãe diabética.|Quais sinais podem indicar hipoglicemia neonatal?::Tremores, letargia, cianose, apneia, hipotonia, sucção ruim e convulsão.|Primeiro exame diante de tremores no RN?::Glicemia.|Como tratar RN sintomático?::Glicose 10% EV imediata, seguida de infusão conforme protocolo.|Hipoglicemia persistente pode causar qual complicação?::Lesão neurológica.|O que investigar se hipoglicemia recorrente?::Hiperinsulinismo, erro inato, insuficiência adrenal, sepse ou distúrbios hormonais."
Prematuridade,"Prematuridade é definida como nascimento antes de quantas semanas?::Antes de 37 semanas.|Quais sistemas são mais imaturos no prematuro?::Pulmonar, intestinal, imunológico, hepático, neurológico e controle térmico.|Principal risco respiratório do prematuro?::SDR por deficiência de surfactante.|Qual alimento reduz risco de enterocolite necrosante?::Leite humano.|Cafeína é usada principalmente para quê?::Apneia da prematuridade.|Quais pontos sempre avaliar no prematuro?::Temperatura, glicemia, respiração, alimentação, infecção, icterícia e desenvolvimento.|Prematuro deve ser avaliado só pelo peso?::Não. Idade gestacional também define risco."
Choque séptico,"Hipotensão em choque pediátrico é sinal precoce ou tardio?::Tardio.|Quais sinais indicam choque compensado?::Taquicardia, TEC alterado, extremidades frias/quentes, alteração mental e oligúria.|Bolus inicial de cristaloide no choque?::10–20 mL/kg, com reavaliação após cada bolus.|O que não deve atrasar no choque séptico?::Antibiótico precoce.|Quais exames ajudam na avaliação?::Lactato, gasometria, hemograma, PCR/procalcitonina, eletrólitos, função renal/hepática, glicemia e culturas.|Quando iniciar vasoativo?::Choque refratário a volume ou sinais de sobrecarga/baixo débito.|Choque frio costuma ter quais achados?::Extremidades frias, TEC prolongado e pulso fino."
Asma grave,"O que significa silêncio torácico na crise asmática?::Sinal de gravidade extrema, não melhora.|Medicação inicial da crise asmática?::Salbutamol inalatório.|Quando usar corticoide sistêmico?::Precoce em crise moderada/grave.|Quando usar ipratrópio?::Nas crises graves, nas primeiras horas.|Quando usar sulfato de magnésio?::Crise grave ou refratária ao tratamento inicial.|Dose comum de sulfato de magnésio?::25–50 mg/kg IV, máximo usual 2 g, conforme protocolo.|Quais sinais indicam UTI?::Hipoxemia persistente, exaustão, sonolência, hipercapnia ou falha terapêutica.|Antibiótico é rotina na crise asmática?::Não."
Cetoacidose diabética,"Tríade da CAD?::Hiperglicemia, cetose e acidose metabólica.|Primeira etapa do tratamento?::Hidratação inicial e avaliação clínica/eletrolítica.|Insulina deve ser feita em bolus?::Não.|Dose usual de insulina regular EV?::0,05–0,1 U/kg/h, sem bolus.|Complicação mais temida da CAD?::Edema cerebral.|Bicarbonato é rotina na CAD?::Não.|O que avaliar antes de iniciar insulina?::Potássio e diurese.|Quais sinais sugerem edema cerebral?::Cefaleia, bradicardia, alteração mental, hipertensão, vômitos ou piora neurológica."
Convulsão febril,"Faixa etária típica da convulsão febril?::6 meses a 5 anos.|Critérios de convulsão febril simples?::Generalizada, menor que 15 minutos e única em 24 horas.|Quando usar benzodiazepínico?::Crise com duração maior que 5 minutos.|Convulsão febril simples precisa de EEG ou TC de rotina?::Não.|O que diferencia convulsão febril complexa?::Focalidade, duração maior que 15 minutos ou recorrência em 24h.|Qual diagnóstico deve ser excluído se houver rigidez de nuca/rebaixamento?::Meningite/encefalite.|Antitérmico previne recorrência?::Não, serve para conforto."
